Gene name,Bone_TA,Brain,Brain_female,Cerebellum_female,Embryonic_fibroblast_cells,Embryonic_stem_cells,Heart,Intestine_TA,Kidney,Liver,Lung,Muscle_TA,Ovaries,Pancreas,Skin,Spinal_cord_female,Spleen_TA,Testes
Mmu-Mir-103-P2_pri,1576.77,39971.17,2965.73,2744.52,13020.15,75932.75,1287.82,1117.22,18587.26,4046.91,15427.74,303.41,19158.78,8468.94,16337.26,3077.72,1188.84,38048.15
Mmu-Mir-103-P1_pri,150.14,15981.05,1510.79,1105.94,2293.47,11507.52,636.50,102.51,16466.79,2133.54,3379.95,26.64,7474.27,2216.58,5606.52,1211.50,154.07,18933.19
Mmu-Mir-105-P1_pri,0,0
Mmu-Mir-122_pri,9.23,708.32,12.69,81.79,157.21,46.13,10.53,0.52,590.78,394279.80,372.54,5.03,3.36,22.16,3.41,5.37,2.11,2.63
Mmu-Mir-124-P2-v1_pri,2.19,6549.78,28445.21,35471.42,0,1603.15,1.50,2.38,3.29,4.25,2.50,0.85,0.37,0.37,1.92,17177.53,0.12,55.32
Mmu-Mir-124-P2-v2_pri,2.19,6549.99,28447.47,35472.02,0,1603.15,1.50,2.38,3.29,4.25,2.50,0.85,0.37,0.37,1.92,17177.94,0.12,55.32
Mmu-Mir-124-P1-v1_pri,2.19,6549.78,28445.49,35471.22,0,1603.15,1.50,2.38,3.29,4.25,2.50,0.85,0.37,0.37,1.92,17177.94,0.12,55.32
Mmu-Mir-124-P1-v2_pri,2.19,6549.99,28447.75,35471.82,0,1603.15,1.50,2.38,3.29,4.25,2.50,0.85,0.37,0.37,1.92,17178.35,0.12,55.32
Mmu-Mir-124-P3-v1_pri,2.19,6549.78,28445.49,35471.42,0,1603.15,1.50,2.38,3.29,4.25,2.50,0.85,0.37,0.37,1.92,17177.53,0.12,55.32
Mmu-Mir-124-P3-v2_pri,2.19,6549.99,28447.75,35472.02,0,1603.15,1.50,2.38,3.29,4.25,2.50,0.85,0.37,0.37,1.92,17177.94,0.12,55.32
Mmu-Mir-126-P2-v2_pri,5329.09,17.58,2237.27,1819.27,0.34,61.99,17.19,1301.04,54.29,3.78,62.92,2499.14,30.28,33.61,40.44,2558.57,4166.95,7.90
Mmu-Mir-126-P2-v1_pri,809.89,22.94,9642.02,8389.87,0.34,17.30,25.13,221.25,61.90,7.80,202.11,458.32,65.80,53.55,34.05,14045.25,2683.37,26.34
Mmu-Mir-126-P2-v3_pri,808.55,22.94,9642.02,8389.87,0.34,17.30,25.13,220.83,61.90,7.80,202.11,454.86,65.80,53.55,34.05,14045.25,2677.04,26.34
Mmu-Mir-127_pri,46.12,3084.52,11282.25,7946.49,722.36,8841.12,4.08,309.51,9.25,5.67,13.33,1197.97,46.36,132.95,1868.48,10334.29,114.98,42.15
Mmu-Mir-128-P2_pri,134.80,23631.67,36150.31,8666.26,58.28,761.21,41.24,11.69,146.62,21.26,34.38,129.46,18.32,14.77,987.56,5625.54,65.98,68.49
Mmu-Mir-128-P1_pri,92.65,13288.21,25235.53,5464.05,51.16,700.66,19.76,7.29,102.40,7.09,16.46,77.70,16.82,14.40,612.54,4497.54,39.38,68.49
Mmu-Mir-129-P2_pri,0.59,1496.17,956.62,767.72,208.71,906.82,1.29,5.60,7.40,1.18,0.63,0.26,26.92,21.05,4.90,427.81,0.77,139.62
Mmu-Mir-129-P1_pri,0.59,1496.17,956.62,767.72,208.71,906.82,1.29,5.57,7.40,1.18,0.63,0.26,26.92,21.05,4.90,427.81,0.77,139.62
Mmu-Mir-130-P1c_pri,155.34,126.48,752.43,1060.82,622.75,4890.91,33.94,85.25,302.90,179.76,292.53,66.87,361.13,85.68,65.77,639.43,168.45,250.26
Mmu-Mir-130-P4a_pri,89.64,13.08,33.28,11.48,96.90,5453.89,0.21,26.14,2.26,1.18,4.58,0.82,17.57,109.68,14.90,9.09,63.07,47.42
Mmu-Mir-130-P2b_pri,1330.38,3.43,93.07,53.18,7.12,104.52,0.64,317.52,1.03,0,0.63,81.91,1.12,0.37,8.30,115.32,939.83,7.90
Mmu-Mir-130-P2a_pri,64.72,0.43,1.41,0.60,2.03,154.98,0,19.65,0,0,0,0.24,0,0.37,0,0,38.57,0
Mmu-Mir-132-P1_pri,8.28,125.20,5432.85,1011.87,19.65,2.16,0.00,26.31,2.26,0.24,0.63,4.66,2.24,0,3.62,1587.22,10.70,0
Mmu-Mir-132-P2_pri,2.46,1014.02,20.31,3.63,170.76,9.37,3.01,4.13,14.39,5.43,5.42,1.51,23.18,1.48,3.83,7.44,6.05,2.63
Mmu-Mir-133-P3-v1_pri,415.96,1.72,3.67,21.35,1.36,0,47.04,196.57,0.21,0,5.83,174302.61,12.71,1.85,819.84,56.63,37.67,2.63
Mmu-Mir-133-P3-v2_pri,416.00,1.72,3.67,21.35,1.36,0,47.04,196.59,0.21,0,5.83,174308.72,12.71,1.85,819.84,56.63,37.67,2.63
Mmu-Mir-133-P1-v1_pri,415.96,1.72,3.67,21.35,1.36,0,47.04,196.57,0.21,0,5.83,174302.60,12.71,1.85,819.84,56.63,37.67,2.63
Mmu-Mir-133-P1-v2_pri,416.00,1.72,3.67,21.35,1.36,0,47.04,196.59,0.21,0,5.83,174308.71,12.71,1.85,819.84,56.63,37.67,2.63
Mmu-Mir-133-P2-v1_pri,4.86,0,1.69,17.73,0.68,0,1.50,6.97,0,0,0,1614.10,1.87,0,158.99,25.21,0.91,0
Mmu-Mir-133-P2-v2_pri,4.86,0,1.69,17.73,0.68,0,1.50,6.97,0,0,0,1614.10,1.87,0,158.99,25.21,0.91,0
Mmu-Mir-134_pri,0.18,148.35,132.55,108.38,1026.28,8463.40,0.43,1.38,0.62,0.47,0.83,1.34,11.59,9.23,66.83,229.82,0.30,13.17
Mmu-Mir-135-P1_pri,24.76,14.36,298.38,174.25,1.69,0.72,0,4.89,0,0,0.21,0.83,8.60,0,1.28,374.48,2.28,2.63
Mmu-Mir-135-P2_pri,24.71,14.36,298.38,174.05,1.69,0.72,0.00,4.89,0.00,0,0.21,0.83,8.60,0.00,1.28,374.48,2.28,2.63
Mmu-Mir-135-P4_pri,0.02,1.93,274.12,130.34,0,126.87,0,0.21,0,0,0.21,0.04,0,0,0.21,116.15,0.11,0
Mmu-Mir-136-v1_pri,2.99,91.11,64.58,37.87,39.64,74.97,0.21,11.50,0.21,0.94,0.42,233.74,1.12,9.60,5.75,59.52,6.73,2.63
Mmu-Mir-136-v2_pri,3.35,91.54,70.22,38.88,39.64,74.97,0.21,11.82,0.21,0.94,0.42,248.52,1.12,9.60,5.75,59.52,6.80,2.63
Mmu-Mir-137-P1-v1_pri,0.21,112.76,8133.21,1051.76,0,1.44,0,10.02,0,0.24,0,0.10,0,0,0,3369.95,0.15,0
